Date,Open,High,Low,Close,Adj Close,Volume
2023-08-09,150.56,151.17,149.0,150.0,150.0,62961365
2023-08-10,149.09,149.86,148.49,149.45,149.45,40294286
2023-08-11,152.62,152.62,151.76,152.37,152.37,59680604
2023-08-14,154.99,155.6,154.86,154.87,154.87,70810283
2023-08-15,156.33,156.87,156.33,156.87,156.87,44510396
2023-08-16,154.7,155.19,154.33,154.95,154.95,54470107
2023-08-17,154.51,154.51,153.82,154.03,154.03,70919344
2023-08-18,154.41,154.41,153.66,153.83,153.83,25828064
2023-08-21,155.71,156.71,155.71,156.11,156.11,73929271
2023-08-22,158.33,159.02,157.73,158.67,158.67,67768368
2023-08-23,160.3,160.3,158.75,159.89,159.89,28537262
2023-08-24,160.56,161.07,159.89,160.36,160.36,29425806
2023-08-25,161.56,161.8,160.38,161.09,161.09,69773026
2023-08-28,161.67,162.33,161.67,161.95,161.95,57971367
2023-08-29,162.44,162.94,162.0,162.79,162.79,39113406
2023-08-30,160.64,161.35,160.1,160.89,160.89,71307359
2023-08-31,164.55,165.41,163.94,164.67,164.67,40759665
2023-09-01,165.6,165.91,164.1,165.38,165.38,27063322
2023-09-04,165.38,165.55,164.68,164.77,164.77,70307694
2023-09-05,162.19,162.64,162.19,162.41,162.41,28030175
2023-09-06,164.99,166.05,164.22,165.23,165.23,70996810
2023-09-07,165.01,166.57,164.78,165.25,165.25,46320122
2023-09-08,167.89,168.58,166.32,167.57,167.57,61133427
2023-09-11,164.6,165.32,164.6,165.05,165.05,70411570
2023-09-12,168.0,168.1,167.65,167.74,167.74,74632227
2023-09-13,166.19,166.19,165.01,165.76,165.76,29882519
2023-09-14,161.88,161.88,160.59,161.43,161.43,61011841
2023-09-15,165.17,166.68,165.17,165.62,165.62,56616844
2023-09-18,162.66,163.3,162.03,162.43,162.43,41525982
2023-09-19,163.59,164.3,163.49,163.53,163.53,67801975
2023-09-20,165.42,165.66,163.74,164.99,164.99,51044017
2023-09-21,163.12,164.5,162.95,163.28,163.28,29693536
2023-09-22,165.94,166.4,164.45,165.42,165.42,46813701
2023-09-25,162.11,162.44,161.49,162.12,162.12,39169931
2023-09-26,161.55,162.36,160.83,161.66,161.66,70934325
2023-09-27,162.95,164.59,162.66,163.47,163.47,56960008
2023-09-28,161.8,161.8,160.69,161.23,161.23,57858070
2023-09-29,165.07,165.79,165.07,165.55,165.55,40172712
2023-10-02,163.67,164.55,163.12,164.08,164.08,33266226
2023-10-03,162.97,164.45,162.56,163.39,163.39,37184868
2023-10-04,158.87,159.77,158.15,159.39,159.39,31123906
2023-10-05,157.11,158.3,156.2,157.26,157.26,38241773
2023-10-06,158.16,158.16,156.47,157.63,157.63,65247796
2023-10-09,153.01,154.71,152.66,153.5,153.5,33023337
2023-10-10,153.53,155.01,152.9,153.99,153.99,27864625
2023-10-11,153.44,153.68,153.18,153.19,153.19,50183580
2023-10-12,153.64,153.9,152.05,153.17,153.17,35255711
2023-10-13,150.3,151.01,150.3,150.66,150.66,48592960
2023-10-16,148.81,150.0,148.76,148.86,148.86,43952217
2023-10-17,149.44,149.74,148.38,149.2,149.2,51596244
2023-10-18,148.87,150.08,148.59,149.14,149.14,45884065
2023-10-19,147.12,147.63,146.38,147.13,147.13,33754061
2023-10-20,149.31,149.31,148.25,148.84,148.84,26085699
2023-10-23,150.15,151.14,149.74,150.13,150.13,41114721
2023-10-24,153.03,153.03,151.99,152.8,152.8,59488807
2023-10-25,148.04,148.91,147.69,148.62,148.62,26531495
2023-10-26,148.07,148.26,147.33,147.55,147.55,39917570
2023-10-27,151.56,152.69,151.37,152.06,152.06,34874072
2023-10-30,152.89,153.5,152.7,153.07,153.07,46343999
2023-10-31,154.25,154.61,154.06,154.6,154.6,48231866
2023-11-01,150.0,151.38,150.0,150.27,150.27,43438449
2023-11-02,151.82,151.82,150.37,151.29,151.29,55651425
2023-11-03,152.01,152.19,150.76,151.9,151.9,45581114
2023-11-06,151.52,152.34,150.54,151.22,151.22,73910245
2023-11-07,156.92,157.45,155.55,156.4,156.4,69500682
2023-11-08,158.15,158.75,156.98,157.97,157.97,37463963
2023-11-09,156.85,157.54,156.85,157.21,157.21,65275236
2023-11-10,159.8,161.18,159.09,160.0,160.0,55475877
2023-11-13,157.1,157.77,156.66,156.96,156.96,28331589
2023-11-14,160.79,161.04,159.92,160.29,160.29,65800806
2023-11-15,164.08,164.38,163.83,163.87,163.87,43375423
2023-11-16,162.1,162.67,160.91,162.09,162.09,70271537
2023-11-17,162.03,163.53,162.03,162.48,162.48,26614765
2023-11-20,162.53,162.53,162.18,162.31,162.31,70302714
2023-11-21,162.01,162.84,161.72,161.83,161.83,52357396
2023-11-22,162.34,162.34,161.78,162.04,162.04,53229289
2023-11-23,163.23,164.06,162.82,162.99,162.99,30605104
2023-11-24,166.55,167.74,166.47,166.66,166.66,62870566
2023-11-27,166.92,167.63,166.25,167.29,167.29,41397919
2023-11-28,168.6,169.86,168.41,168.83,168.83,25069503
2023-11-29,171.78,173.07,171.78,172.45,172.45,52172255
2023-11-30,174.13,174.2,172.46,173.72,173.72,73383016
2023-12-01,169.46,171.21,169.1,169.9,169.9,66793969
2023-12-04,169.83,169.87,168.9,169.3,169.3,29000399
2023-12-05,168.15,169.54,167.7,168.73,168.73,58962395
2023-12-06,169.67,169.88,168.72,169.84,169.84,69932924
2023-12-07,168.12,168.52,168.12,168.29,168.29,29453579
2023-12-08,168.32,169.54,168.32,168.75,168.75,57979219
2023-12-11,171.33,172.76,171.33,171.85,171.85,55822178
2023-12-12,166.71,167.4,165.77,166.57,166.57,65330509
2023-12-13,165.06,165.51,164.96,165.22,165.22,66125962
2023-12-14,165.12,165.55,163.89,164.57,164.57,59921112
2023-12-15,164.47,165.38,163.76,164.96,164.96,71452923
2023-12-18,166.96,166.96,166.32,166.53,166.53,59493982
2023-12-19,169.23,169.83,167.51,168.83,168.83,28142191
2023-12-20,169.89,169.89,168.37,169.33,169.33,30162111
2023-12-21,169.43,170.15,169.22,169.98,169.98,72496304
2023-12-22,171.0,172.05,170.3,171.36,171.36,38731725
2023-12-25,175.0,175.0,173.91,174.38,174.38,62819900
2023-12-26,171.75,172.54,170.62,171.19,171.19,73224635
2023-12-27,171.61,172.06,170.31,171.66,171.66,40638498
2023-12-28,172.86,173.51,171.84,172.89,172.89,55441465
2023-12-29,171.86,173.1,170.92,172.14,172.14,46495852
2024-01-01,173.12,173.86,172.45,173.32,173.32,43561532
2024-01-02,170.33,171.62,170.05,170.62,170.62,37778726
2024-01-03,168.0,168.5,167.69,168.07,168.07,63885871
2024-01-04,168.24,168.46,167.83,168.15,168.15,68550074
2024-01-05,172.41,173.7,171.22,172.32,172.32,53061519
2024-01-08,177.55,177.69,176.22,177.11,177.11,52621064
2024-01-09,178.15,178.56,176.56,177.69,177.69,31387971
2024-01-10,179.29,179.41,178.53,178.94,178.94,29663329
2024-01-11,175.37,176.65,175.13,176.04,176.04,29396348
2024-01-12,176.12,176.99,174.6,175.96,175.96,33008230
2024-01-15,181.34,181.34,180.8,180.81,180.81,40126034
2024-01-16,177.6,178.57,177.34,177.55,177.55,54000471
2024-01-17,173.24,174.5,173.06,173.41,173.41,34179893
2024-01-18,171.63,172.32,170.78,171.16,171.16,59945433
2024-01-19,172.8,173.62,172.27,172.38,172.38,63599380
2024-01-22,170.86,171.63,170.44,171.04,171.04,54833046
2024-01-23,169.03,170.03,168.36,168.78,168.78,72971412
2024-01-24,165.33,165.61,163.97,164.96,164.96,63685622
2024-01-25,164.14,164.82,164.14,164.54,164.54,32472262
2024-01-26,164.65,165.51,164.0,164.53,164.53,74191144
2024-01-29,158.43,158.48,157.15,157.85,157.85,26749107
2024-01-30,158.59,159.16,157.22,158.13,158.13,50194153
2024-01-31,156.04,157.24,155.24,156.07,156.07,30741240
2024-02-01,158.21,158.21,157.29,157.6,157.6,37998354
2024-02-02,152.33,152.93,151.07,151.82,151.82,49810610
2024-02-05,147.62,148.47,146.98,148.1,148.1,52074733
2024-02-06,145.54,146.25,144.87,145.64,145.64,63453666
2024-02-07,145.48,145.54,144.42,144.93,144.93,33197542
2024-02-08,146.54,146.86,145.79,146.73,146.73,27257207
2024-02-09,145.37,146.0,145.37,145.65,145.65,55696983
2024-02-12,146.48,147.63,146.25,146.9,146.9,29443939
2024-02-13,148.39,149.08,147.32,147.93,147.93,71008164
2024-02-14,145.96,146.82,144.92,146.07,146.07,56607471
2024-02-15,151.99,151.99,150.89,151.41,151.41,29278511
2024-02-16,152.31,152.52,151.35,152.08,152.08,32811532
2024-02-19,154.12,155.25,154.0,154.48,154.48,25842104
2024-02-20,154.84,155.93,154.01,154.99,154.99,60672087
2024-02-21,155.5,156.19,155.31,155.36,155.36,52395920
2024-02-22,157.8,158.79,157.8,158.19,158.19,56832489
2024-02-23,158.24,158.99,157.1,157.77,157.77,35993846
2024-02-26,161.74,162.7,161.71,162.23,162.23,27535616
2024-02-27,163.13,164.09,163.1,163.52,163.52,71226965
2024-02-28,161.07,161.61,161.05,161.3,161.3,68934072
2024-02-29,163.08,163.24,161.48,162.63,162.63,32347301
2024-03-01,159.32,160.6,158.25,159.53,159.53,28891322
2024-03-04,158.87,159.42,157.79,158.33,158.33,42603740
2024-03-05,161.65,163.11,161.43,162.09,162.09,38907480
2024-03-06,160.63,161.08,160.61,161.07,161.07,74985232
2024-03-07,164.5,164.66,163.03,164.29,164.29,33435377
2024-03-08,163.6,164.13,162.58,163.24,163.24,32062855
2024-03-11,162.7,162.8,162.16,162.24,162.24,26256830
2024-03-12,162.59,163.14,162.28,162.66,162.66,37944065
2024-03-13,164.84,165.07,164.01,164.64,164.64,41261522
2024-03-14,159.37,159.95,158.93,159.7,159.7,35334867
2024-03-15,159.53,160.24,158.4,159.27,159.27,27395403
2024-03-18,160.05,160.05,159.79,159.82,159.82,45581155
2024-03-19,158.49,158.49,157.51,157.94,157.94,26250541
2024-03-20,158.42,158.43,157.3,158.21,158.21,30391813
2024-03-21,161.06,161.51,160.25,161.15,161.15,48806538
2024-03-22,158.83,159.72,158.53,158.65,158.65,36233022
2024-03-25,156.28,157.89,156.0,156.69,156.69,56861156
2024-03-26,156.2,157.27,156.02,156.63,156.63,39359447
2024-03-27,156.4,156.4,155.38,156.1,156.1,59117000
2024-03-28,154.8,155.08,153.54,154.57,154.57,66513404
2024-03-29,155.7,156.11,155.13,155.6,155.6,73899084
2024-04-01,152.52,154.01,152.52,152.97,152.97,47561110
2024-04-02,151.41,151.66,151.15,151.35,151.35,30173894
2024-04-03,154.36,155.23,154.31,154.81,154.81,54894112
2024-04-04,150.52,151.3,150.37,151.01,151.01,27622854
2024-04-05,150.11,150.11,148.93,149.69,149.69,66218645
2024-04-08,152.05,152.48,150.68,151.68,151.68,71048920
2024-04-09,149.08,150.12,148.63,148.95,148.95,37631654
2024-04-10,145.5,145.5,145.11,145.32,145.32,61942593
2024-04-11,144.31,145.04,143.85,143.97,143.97,73864699
2024-04-12,143.9,145.17,143.66,144.2,144.2,36460450
2024-04-15,144.86,146.01,143.88,145.04,145.04,50156405
2024-04-16,148.12,148.36,147.4,148.02,148.02,46235784
2024-04-17,145.81,145.89,145.04,145.48,145.48,55967966
2024-04-18,146.85,147.38,145.78,146.91,146.91,52105671
2024-04-19,144.05,144.39,143.63,144.16,144.16,68876102
2024-04-22,145.59,147.25,145.46,146.1,146.1,67159478
2024-04-23,149.67,150.14,149.37,149.97,149.97,27427189
2024-04-24,149.63,151.2,149.19,150.17,150.17,28834671
2024-04-25,148.75,149.45,148.54,148.91,148.91,48412974
2024-04-26,148.14,148.84,147.91,148.45,148.45,64271556
2024-04-29,146.27,146.72,145.47,145.76,145.76,47206816
2024-04-30,150.71,151.51,149.64,150.34,150.34,63384061
2024-05-01,152.49,154.21,152.49,153.09,153.09,27321090
