Date,Open,High,Low,Close,Adj Close,Volume
2023-08-09,2797.17,2819.94,2784.7,2800.0,2800.0,2135993
2023-08-10,2865.19,2868.89,2836.43,2854.02,2854.02,2195329
2023-08-11,2843.64,2843.64,2815.75,2837.17,2837.17,2236858
2023-08-14,2818.32,2835.8,2810.94,2823.4,2823.4,1846993
2023-08-15,2814.12,2814.5,2810.36,2812.34,2812.34,1250836
2023-08-16,2737.78,2744.36,2721.55,2729.47,2729.47,1648713
2023-08-17,2735.72,2750.73,2724.69,2737.16,2737.16,942933
2023-08-18,2766.09,2767.98,2746.01,2758.54,2758.54,1827809
2023-08-21,2718.99,2728.67,2717.95,2722.42,2722.42,1192919
2023-08-22,2699.29,2702.6,2683.08,2689.02,2689.02,1403021
2023-08-23,2658.39,2658.39,2647.42,2648.12,2648.12,1723116
2023-08-24,2641.71,2642.39,2632.71,2634.76,2634.76,1009485
2023-08-25,2668.2,2668.2,2645.9,2657.63,2657.63,1834384
2023-08-28,2601.29,2615.02,2601.29,2610.88,2610.88,1621175
2023-08-29,2575.05,2575.05,2561.68,2567.1,2567.1,1824877
2023-08-30,2588.01,2598.68,2577.63,2592.72,2592.72,1714662
2023-08-31,2545.99,2558.67,2543.58,2546.61,2546.61,1144834
2023-09-01,2543.61,2556.21,2531.66,2545.98,2545.98,1988300
2023-09-04,2632.72,2635.26,2622.32,2630.65,2630.65,1218316
2023-09-05,2652.62,2664.56,2627.09,2647.93,2647.93,812005
2023-09-06,2638.82,2638.82,2608.59,2629.07,2629.07,2226385
2023-09-07,2658.66,2670.58,2655.06,2661.24,2661.24,1944304
2023-09-08,2601.72,2627.72,2601.72,2612.04,2612.04,1857023
2023-09-11,2655.84,2656.93,2654.99,2656.42,2656.42,1187984
2023-09-12,2641.41,2641.41,2613.45,2632.08,2632.08,927910
2023-09-13,2658.8,2676.62,2658.8,2667.49,2667.49,1508433
2023-09-14,2683.22,2683.22,2666.34,2675.66,2675.66,1108682
2023-09-15,2691.69,2706.57,2680.37,2686.64,2686.64,1635983
2023-09-18,2649.54,2659.52,2634.14,2653.01,2653.01,2178653
2023-09-19,2619.39,2637.14,2603.39,2621.9,2621.9,2042405
2023-09-20,2638.08,2649.58,2630.09,2641.64,2641.64,1970457
2023-09-21,2654.99,2681.59,2644.53,2660.77,2660.77,1154012
2023-09-22,2663.27,2663.54,2655.12,2660.56,2660.56,2064064
2023-09-25,2664.08,2679.31,2664.08,2671.57,2671.57,1168781
2023-09-26,2678.4,2702.85,2678.4,2688.09,2688.09,870632
2023-09-27,2697.19,2703.09,2693.49,2696.37,2696.37,1694630
