Date,Open,High,Low,Close,Adj Close,Volume
2023-08-09,379.26,381.19,377.64,380.0,380.0,2785235
2023-08-10,377.33,379.44,377.33,378.15,378.15,2424864
2023-08-11,375.37,379.11,375.37,376.74,376.74,2423895
2023-08-14,375.56,376.79,373.91,376.3,376.3,2975333
2023-08-15,377.97,377.97,376.09,376.81,376.81,2709667
2023-08-16,370.02,374.27,369.74,371.32,371.32,2069923
2023-08-17,365.04,367.15,363.11,365.47,365.47,1079626
2023-08-18,372.21,372.21,369.54,371.71,371.71,2025997
2023-08-21,371.4,374.3,369.8,372.03,372.03,1032225
2023-08-22,365.68,366.58,363.27,364.85,364.85,1056480
2023-08-23,369.3,369.3,367.73,368.31,368.31,2558460
2023-08-24,362.85,364.92,362.43,362.55,362.55,1530768
2023-08-25,364.71,366.07,362.53,363.56,363.56,1075355
2023-08-28,357.7,360.18,355.57,357.74,357.74,1357412
2023-08-29,361.37,364.31,361.33,362.19,362.19,2687252
2023-08-30,362.72,366.42,362.72,363.93,363.93,1839034
2023-08-31,363.2,365.62,362.22,363.46,363.46,1423967
2023-09-01,360.23,363.02,360.23,360.86,360.86,2311598
2023-09-04,362.46,363.09,359.46,361.93,361.93,2342706
2023-09-05,364.07,367.97,362.5,365.18,365.18,2324806
2023-09-06,352.57,356.55,352.57,353.87,353.87,2029037
2023-09-07,350.88,352.52,350.88,352.1,352.1,2321794
2023-09-08,359.38,360.55,356.56,358.44,358.44,1474954
2023-09-11,361.64,365.03,360.81,362.49,362.49,1443904
2023-09-12,358.42,360.42,358.42,359.84,359.84,1977886
2023-09-13,360.24,363.25,360.19,360.87,360.87,2084281
2023-09-14,362.98,363.29,361.25,362.91,362.91,1393439
2023-09-15,364.57,365.48,364.1,364.76,364.76,2623780
2023-09-18,374.86,374.86,372.95,373.66,373.66,1973708
2023-09-19,368.64,369.47,368.64,369.24,369.24,2859018
2023-09-20,359.43,361.17,357.96,359.64,359.64,2254270
2023-09-21,360.5,362.48,359.69,361.11,361.11,1681968
2023-09-22,365.7,367.65,363.24,365.87,365.87,2748318
2023-09-25,373.77,375.34,370.12,372.72,372.72,2873549
2023-09-26,378.87,381.1,377.88,379.5,379.5,1045498
2023-09-27,375.07,375.07,372.5,374.05,374.05,1616466
2023-09-28,374.48,375.91,373.32,373.85,373.85,1407239
2023-09-29,372.54,373.63,371.01,371.69,371.69,2123376
2023-10-02,368.93,368.93,366.47,368.5,368.5,2076070
2023-10-03,363.21,365.4,361.43,362.64,362.64,1069983
2023-10-04,354.4,356.13,354.01,354.76,354.76,1411151
2023-10-05,354.17,355.21,350.85,353.18,353.18,1982573
2023-10-06,359.61,360.8,359.61,360.01,360.01,1492394
2023-10-09,362.45,362.45,358.85,361.66,361.66,1885179
2023-10-10,360.43,362.35,359.64,361.05,361.05,1503924
2023-10-11,350.68,352.63,350.68,351.67,351.67,1081757
2023-10-12,352.56,355.1,351.8,353.53,353.53,2213632
2023-10-13,359.05,359.3,356.88,359.05,359.05,1545361
2023-10-16,361.21,361.83,358.63,360.95,360.95,2284648
2023-10-17,358.99,363.04,358.3,360.29,360.29,1226361
2023-10-18,356.35,358.56,355.27,357.66,357.66,2699682
2023-10-19,359.31,360.29,357.47,359.03,359.03,2919912
2023-10-20,352.04,354.59,349.77,352.39,352.39,1382406
2023-10-23,344.16,346.04,343.63,344.94,344.94,1591150
2023-10-24,340.09,343.16,339.11,341.22,341.22,1100370
2023-10-25,348.33,348.33,347.36,347.64,347.64,2820200
2023-10-26,353.24,353.24,350.75,351.89,351.89,2326055
2023-10-27,347.41,350.19,347.41,348.5,348.5,2748650
2023-10-30,342.89,344.8,342.89,344.04,344.04,1472606
2023-10-31,336.33,337.86,335.86,337.66,337.66,1432189
2023-11-01,333.92,336.47,331.76,334.12,334.12,1805130
2023-11-02,336.55,336.75,335.67,336.26,336.26,2471172
2023-11-03,339.83,340.66,337.89,339.89,339.89,2604573
2023-11-06,335.74,337.38,335.74,336.7,336.7,1737715
2023-11-07,340.46,340.46,336.74,339.15,339.15,1347866
2023-11-08,348.83,350.11,347.62,348.83,348.83,2501238
2023-11-09,354.88,354.88,353.78,354.22,354.22,1796737
2023-11-10,354.03,354.03,350.95,353.24,353.24,1892482
2023-11-13,364.19,364.62,361.53,364.14,364.14,1083814
2023-11-14,356.59,356.72,354.05,355.82,355.82,2097698
2023-11-15,359.0,362.59,359.0,360.12,360.12,1167616
2023-11-16,365.78,369.51,365.78,366.59,366.59,2805131
2023-11-17,376.56,379.46,375.57,377.36,377.36,1420402
2023-11-20,383.15,383.46,381.44,381.78,381.78,2244031
2023-11-21,383.22,384.25,380.69,382.96,382.96,2005838
2023-11-22,385.34,385.69,384.0,384.42,384.42,2967598
2023-11-23,390.71,392.77,390.71,391.74,391.74,1645434
2023-11-24,382.52,383.45,378.84,381.64,381.64,2511092
2023-11-27,385.97,388.44,384.09,385.62,385.62,2147129
2023-11-28,386.94,387.65,385.66,387.08,387.08,2015930
2023-11-29,390.14,390.14,387.77,388.69,388.69,1300645
2023-11-30,393.67,393.67,390.14,392.52,392.52,1373651
2023-12-01,385.51,386.88,385.44,386.86,386.86,1093297
2023-12-04,380.76,383.69,380.41,381.72,381.72,1135826
2023-12-05,374.97,375.33,372.53,374.61,374.61,2349504
2023-12-06,374.61,375.49,372.2,374.67,374.67,1123515
2023-12-07,366.94,369.71,364.21,366.78,366.78,1990161
2023-12-08,362.43,362.43,360.65,361.43,361.43,2679469
2023-12-11,358.68,358.68,355.51,358.24,358.24,1954589
2023-12-12,352.27,353.83,349.76,351.44,351.44,1992002
2023-12-13,352.88,354.28,350.56,352.87,352.87,1182328
2023-12-14,347.23,348.08,345.3,347.59,347.59,1762713
2023-12-15,350.96,351.23,350.65,351.14,351.14,1348243
2023-12-18,351.7,352.49,351.33,352.29,352.29,1398055
2023-12-19,353.19,356.11,352.91,353.43,353.43,2302101
2023-12-20,359.68,362.79,359.68,360.55,360.55,2387047
2023-12-21,360.79,360.79,359.76,360.14,360.14,1866452
2023-12-22,361.92,363.24,360.4,361.41,361.41,2398541
2023-12-25,355.7,356.33,354.71,355.86,355.86,1387743
2023-12-26,349.18,350.19,347.64,349.49,349.49,2628197
2023-12-27,346.09,346.09,343.23,345.21,345.21,1147340
2023-12-28,345.76,346.26,344.28,345.57,345.57,1814203
2023-12-29,350.97,352.89,350.97,351.97,351.97,2806354
2024-01-01,352.52,353.04,350.5,351.72,351.72,1590290
2024-01-02,348.57,351.59,347.09,349.39,349.39,1712388
2024-01-03,346.68,349.86,345.49,347.68,347.68,2681605
2024-01-04,352.14,355.25,352.14,352.88,352.88,2864687
2024-01-05,354.38,354.38,351.13,353.75,353.75,2373809
2024-01-08,349.6,352.34,349.6,350.11,350.11,2101837
2024-01-09,346.49,348.8,345.94,347.22,347.22,2741996
2024-01-10,352.73,352.73,349.73,351.56,351.56,1617937
2024-01-11,355.29,355.78,353.44,355.67,355.67,2517484
2024-01-12,354.91,356.6,354.91,355.78,355.78,1243528
2024-01-15,348.87,348.97,346.27,348.28,348.28,1013422
2024-01-16,354.0,356.12,352.0,354.5,354.5,2477552
2024-01-17,356.69,359.38,354.45,357.26,357.26,2264340
2024-01-18,364.43,366.06,362.86,363.57,363.57,2774783
2024-01-19,354.17,356.99,353.32,355.57,355.57,2405904
2024-01-22,354.41,356.74,353.87,355.24,355.24,1842300
2024-01-23,347.24,349.78,346.59,348.48,348.48,1743388
2024-01-24,349.33,352.23,347.98,349.46,349.46,1782568
2024-01-25,349.83,351.22,347.67,348.64,348.64,2743296
2024-01-26,346.66,346.97,345.09,346.19,346.19,2393698
2024-01-29,349.03,349.06,347.47,348.95,348.95,1730780
2024-01-30,347.84,350.82,346.54,348.18,348.18,2210948
2024-01-31,345.73,349.52,345.34,346.98,346.98,2425822
2024-02-01,347.26,348.46,346.81,347.05,347.05,1612069
