Date,Open,High,Low,Close,Adj Close,Volume
2023-08-09,300.95,301.72,297.82,300.0,300.0,43242998
2023-08-10,301.04,302.23,299.45,300.91,300.91,18597007
2023-08-11,301.75,302.75,300.84,302.59,302.59,35534389
2023-08-14,302.01,302.58,300.71,300.93,300.93,41088906
2023-08-15,297.21,299.95,297.21,297.62,297.62,18392906
2023-08-16,307.97,308.38,306.09,306.87,306.87,33869869
2023-08-17,306.52,306.76,303.42,305.41,305.41,42954596
2023-08-18,300.91,302.12,300.79,301.5,301.5,25223477
2023-08-21,299.21,300.08,298.53,299.83,299.83,42310882
2023-08-22,301.26,304.1,301.26,302.46,302.46,15390188
2023-08-23,307.69,310.0,307.69,308.85,308.85,19947633
2023-08-24,306.38,307.89,304.44,306.28,306.28,21212847
2023-08-25,300.89,302.57,299.46,301.79,301.79,42041041
2023-08-28,303.51,304.62,302.28,303.22,303.22,42431778
2023-08-29,298.17,299.53,296.36,297.84,297.84,15915084
2023-08-30,294.66,295.88,294.66,295.1,295.1,28399545
2023-08-31,298.63,298.63,297.51,298.13,298.13,42358267
2023-09-01,306.04,306.54,304.87,306.31,306.31,24743647
2023-09-04,310.94,313.27,310.94,312.02,312.02,15971385
2023-09-05,312.99,315.13,311.9,314.0,314.0,36307798
2023-09-06,309.54,311.34,309.39,310.61,310.61,20550526
2023-09-07,314.9,316.22,312.07,313.75,313.75,22691672
2023-09-08,309.13,310.34,308.25,309.79,309.79,27496972
2023-09-11,314.31,314.31,312.45,313.47,313.47,22643340
2023-09-12,312.24,314.81,311.88,313.39,313.39,41262952
2023-09-13,323.89,324.64,322.32,323.95,323.95,22827462
2023-09-14,313.94,314.07,311.83,313.58,313.58,39319236
2023-09-15,311.47,311.47,310.18,310.87,310.87,25813469
2023-09-18,305.75,307.13,304.38,306.79,306.79,37206560
2023-09-19,311.08,311.08,309.66,309.95,309.95,42754335
2023-09-20,303.06,306.31,301.83,304.06,304.06,27934507
2023-09-21,294.14,296.43,292.82,294.54,294.54,30916767
2023-09-22,298.74,301.09,298.74,299.84,299.84,26936921
2023-09-25,301.33,303.96,301.1,302.24,302.24,15985040
2023-09-26,305.24,307.11,304.16,304.78,304.78,24003866
2023-09-27,300.65,300.96,298.23,299.87,299.87,42149051
2023-09-28,290.52,292.59,289.65,291.47,291.47,25743539
2023-09-29,288.41,290.76,287.28,289.23,289.23,43944339
2023-10-02,294.21,294.99,291.76,293.37,293.37,29099846
2023-10-03,294.44,296.26,292.95,294.16,294.16,21246953
2023-10-04,290.48,293.49,289.19,291.16,291.16,28428127
2023-10-05,291.08,292.11,289.62,290.58,290.58,21680242
2023-10-06,284.89,284.95,283.34,283.93,283.93,42466445
2023-10-09,290.53,293.7,290.41,291.6,291.6,39487356
2023-10-10,293.61,294.24,290.89,292.74,292.74,30596407
2023-10-11,304.82,305.37,302.85,303.67,303.67,25765708
2023-10-12,310.48,312.94,310.48,311.37,311.37,38214703
2023-10-13,314.97,316.99,313.13,315.21,315.21,36582422
2023-10-16,317.3,318.81,315.89,316.79,316.79,40531840
2023-10-17,316.57,316.64,314.29,316.23,316.23,19891276
2023-10-18,317.53,317.53,314.47,316.46,316.46,25015588
2023-10-19,320.76,321.8,320.76,321.5,321.5,33556024
2023-10-20,327.56,330.14,327.56,328.3,328.3,32111342
2023-10-23,330.32,331.23,330.08,331.17,331.17,18037308
2023-10-24,337.8,340.65,337.8,338.81,338.81,31651835
2023-10-25,344.39,346.38,342.54,344.12,344.12,44032683
2023-10-26,348.65,348.95,347.21,347.37,347.37,26326190
2023-10-27,355.42,356.05,352.41,354.12,354.12,23094083
2023-10-30,346.45,347.32,344.82,346.21,346.21,25592973
2023-10-31,339.02,339.24,338.02,338.9,338.9,34889097
2023-11-01,338.75,340.25,337.79,338.24,338.24,16706963
2023-11-02,341.9,343.79,339.23,341.31,341.31,16346716
2023-11-03,345.01,346.6,343.34,346.07,346.07,16007368
2023-11-06,338.95,340.86,337.84,338.79,338.79,44460945
2023-11-07,343.85,344.76,341.77,343.21,343.21,20127067
2023-11-08,345.94,347.07,344.9,345.13,345.13,24012469
2023-11-09,345.18,348.58,344.14,345.86,345.86,42937667
2023-11-10,341.69,343.44,339.41,341.6,341.6,31777247
2023-11-13,333.16,336.53,333.16,333.87,333.87,33511977
2023-11-14,334.0,334.27,332.6,334.07,334.07,32009679
2023-11-15,328.63,328.81,327.53,328.55,328.55,25611667
2023-11-16,330.9,332.42,330.8,331.93,331.93,38981353
2023-11-17,328.33,328.68,325.84,328.13,328.13,27393355
2023-11-20,333.21,333.21,331.44,331.93,331.93,35030604
2023-11-21,327.58,330.42,326.77,328.07,328.07,25131063
2023-11-22,333.75,334.91,332.8,333.49,333.49,25464879
2023-11-23,332.81,334.86,332.81,333.76,333.76,22346693
2023-11-24,333.9,334.49,330.73,332.67,332.67,17922026
2023-11-27,331.77,332.63,331.3,331.51,331.51,31943124
2023-11-28,329.53,331.09,329.53,330.4,330.4,26196517
2023-11-29,333.17,334.49,329.26,331.86,331.86,43049817
2023-11-30,324.82,328.49,324.82,325.93,325.93,20092330
2023-12-01,328.66,328.66,327.14,327.66,327.66,18229356
2023-12-04,326.89,326.97,326.79,326.96,326.96,18767994
2023-12-05,317.04,319.47,315.54,317.36,317.36,36004932
2023-12-06,318.56,320.72,318.11,319.69,319.69,31765394
2023-12-07,312.13,312.37,310.4,311.74,311.74,19252359
2023-12-08,313.64,315.35,312.89,314.69,314.69,19390871
2023-12-11,313.78,314.41,313.2,313.53,313.53,20888588
2023-12-12,312.23,312.76,311.42,311.87,311.87,15477749
2023-12-13,313.1,313.44,310.98,312.92,312.92,34010478
2023-12-14,311.77,312.26,309.9,311.08,311.08,38477984
2023-12-15,316.32,317.98,314.26,316.56,316.56,31808016
2023-12-18,325.25,325.82,324.57,325.31,325.31,44638693
2023-12-19,325.52,325.52,322.47,324.43,324.43,35759790
2023-12-20,327.46,329.4,326.53,326.86,326.86,30246806
2023-12-21,327.69,328.59,326.47,327.89,327.89,30495168
2023-12-22,323.75,326.17,322.56,323.79,323.79,41887350
2023-12-25,319.49,322.18,318.36,320.29,320.29,37262792
2023-12-26,320.75,322.29,319.55,321.69,321.69,25467855
2023-12-27,316.85,319.21,315.22,317.03,317.03,31630555
2023-12-28,320.95,321.89,319.13,321.16,321.16,37584659
2023-12-29,327.91,328.63,326.67,327.05,327.05,30614476
2024-01-01,329.79,330.78,327.22,329.51,329.51,16215737
2024-01-02,334.95,336.78,332.41,334.73,334.73,34629407
2024-01-03,341.82,342.2,340.6,340.76,340.76,18521083
2024-01-04,334.91,337.45,334.45,336.25,336.25,30429220
2024-01-05,328.79,329.99,328.53,328.86,328.86,39108957
2024-01-08,334.82,336.85,331.99,334.34,334.34,19889553
2024-01-09,341.04,341.04,337.93,340.0,340.0,34552515
2024-01-10,340.72,341.73,339.56,341.65,341.65,20324417
2024-01-11,341.87,342.01,340.96,341.83,341.83,39568526
2024-01-12,344.46,345.95,342.54,345.09,345.09,21066475
2024-01-15,351.42,352.89,349.28,351.16,351.16,41753158
2024-01-16,353.61,357.37,353.37,354.74,354.74,34795289
2024-01-17,352.67,353.78,351.77,353.64,353.64,23051091
2024-01-18,353.83,357.49,352.19,354.68,354.68,26563109
2024-01-19,368.56,369.5,366.92,367.54,367.54,15940749
2024-01-22,368.59,368.8,368.25,368.72,368.72,15951091
2024-01-23,367.29,368.46,365.26,367.37,367.37,42094450
2024-01-24,357.67,359.22,354.39,356.65,356.65,19758069
2024-01-25,355.34,356.02,354.96,355.69,355.69,35800707
2024-01-26,361.55,362.41,359.74,360.44,360.44,25756799
2024-01-29,361.27,363.2,359.2,361.07,361.07,42173160
2024-01-30,356.96,357.74,356.24,357.3,357.3,43381206
2024-01-31,349.62,349.62,345.79,348.4,348.4,44568633
2024-02-01,345.91,349.31,345.91,346.56,346.56,27795668
2024-02-02,345.22,345.22,343.95,344.04,344.04,29387190
2024-02-05,353.34,355.56,352.55,354.17,354.17,39419556
2024-02-06,345.34,345.34,342.98,344.88,344.88,35602004
2024-02-07,339.17,339.68,337.49,339.54,339.54,23723650
2024-02-08,341.41,342.96,339.45,340.54,340.54,20590037
2024-02-09,337.48,339.49,335.82,336.87,336.87,20115581
2024-02-12,347.27,347.27,345.76,346.25,346.25,41118183
2024-02-13,348.42,350.15,347.12,347.92,347.92,23873925
2024-02-14,349.89,350.08,348.05,349.7,349.7,22882238
2024-02-15,351.11,351.48,349.02,350.61,350.61,29170060
2024-02-16,351.25,354.76,350.77,352.23,352.23,37119806
2024-02-19,353.33,354.37,352.87,354.11,354.11,44822460
2024-02-20,360.91,362.2,358.87,359.93,359.93,26170733
2024-02-21,371.48,372.95,370.89,371.24,371.24,41348656
2024-02-22,372.25,374.58,371.04,372.46,372.46,15067164
2024-02-23,375.33,375.33,371.42,373.97,373.97,28964344
2024-02-26,382.13,382.34,378.35,380.65,380.65,42480077
2024-02-27,384.49,384.49,382.5,384.33,384.33,27489404
2024-02-28,371.35,373.2,369.17,370.86,370.86,30096838
2024-02-29,365.95,368.56,364.69,366.12,366.12,22906935
2024-03-01,367.19,369.96,365.01,367.3,367.3,30638370
2024-03-04,372.93,374.91,372.67,372.93,372.93,44668561
2024-03-05,371.08,373.92,371.08,371.34,371.34,43315801
2024-03-06,362.86,362.86,359.38,361.51,361.51,42191397
2024-03-07,372.92,373.71,372.92,373.34,373.34,23329124
2024-03-08,371.92,371.92,370.29,370.66,370.66,30388268
2024-03-11,361.15,362.73,359.03,360.05,360.05,43877092
2024-03-12,352.7,355.05,352.37,353.15,353.15,36942235
2024-03-13,343.18,344.09,342.36,343.32,343.32,27584576
2024-03-14,350.72,350.72,347.91,350.51,350.51,43043047
2024-03-15,354.6,357.24,353.63,354.93,354.93,22380032
2024-03-18,350.56,353.17,350.13,351.58,351.58,22724170
2024-03-19,362.53,364.92,361.87,362.5,362.5,22260722
2024-03-20,359.13,359.23,356.58,358.75,358.75,38412700
2024-03-21,367.56,368.07,365.96,367.92,367.92,44015131
2024-03-22,364.04,365.63,364.04,364.98,364.98,31818525
2024-03-25,370.66,371.57,369.11,370.85,370.85,40722934
2024-03-26,373.38,373.38,372.44,372.67,372.67,15221090
2024-03-27,372.0,372.79,371.01,371.24,371.24,26438218
2024-03-28,370.77,370.78,370.42,370.67,370.67,33450417
2024-03-29,370.33,373.89,370.33,371.21,371.21,40096256
2024-04-01,371.54,372.85,368.42,370.53,370.53,30340346
2024-04-02,380.31,382.95,380.31,380.58,380.58,17093244
2024-04-03,381.23,384.13,380.15,381.94,381.94,32636955
2024-04-04,377.86,378.6,376.83,377.36,377.36,15414977
2024-04-05,373.37,374.28,372.54,373.98,373.98,15500090
2024-04-08,377.2,378.45,375.23,376.72,376.72,21602234
2024-04-09,378.75,379.96,375.69,378.09,378.09,32023448
2024-04-10,379.63,381.29,376.78,378.61,378.61,36842913
2024-04-11,373.44,373.98,373.44,373.64,373.64,37764911
2024-04-12,375.57,379.75,375.21,376.99,376.99,22875655
2024-04-15,367.52,368.83,364.99,367.69,367.69,20543427
2024-04-16,361.3,364.12,361.26,362.51,362.51,17562782
2024-04-17,369.44,371.41,369.11,370.55,370.55,29872226
2024-04-18,371.47,374.23,371.47,372.47,372.47,27616199
2024-04-19,367.65,367.77,366.51,367.49,367.49,22216822
2024-04-22,370.57,370.98,369.99,370.08,370.08,20643823
2024-04-23,372.4,372.94,370.48,372.3,372.3,18636548
2024-04-24,372.72,374.65,372.72,373.5,373.5,20464554
2024-04-25,380.27,381.52,378.55,379.07,379.07,29166720
2024-04-26,388.21,389.67,385.85,387.21,387.21,39984820
2024-04-29,385.57,386.63,384.97,386.58,386.58,37727274
2024-04-30,390.46,390.46,388.96,390.04,390.04,37564526
2024-05-01,394.25,394.25,391.65,392.79,392.79,42708203
2024-05-02,398.28,401.88,398.28,399.09,399.09,33400809
2024-05-03,402.41,403.35,400.55,403.02,403.02,30076407
2024-05-06,403.65,403.79,400.09,403.05,403.05,32372185
2024-05-07,405.07,407.43,401.9,404.61,404.61,42340260
2024-05-08,420.04,420.78,415.84,418.68,418.68,28974099
2024-05-09,417.21,418.28,414.87,417.05,417.05,23996917
2024-05-10,413.36,417.05,412.47,414.83,414.83,36448830
2024-05-13,424.67,427.59,424.59,425.89,425.89,33223114
2024-05-14,423.89,427.63,423.89,424.78,424.78,36135505
2024-05-15,420.41,423.16,420.41,420.74,420.74,15893502
