Date,Open,High,Low,Close,Adj Close,Volume
2023-08-09,220.08,221.63,219.66,220.0,220.0,44119970
2023-08-10,222.77,223.22,221.27,222.3,222.3,59100168
2023-08-11,225.96,227.0,225.96,226.78,226.78,41840944
2023-08-14,232.03,233.55,230.82,231.9,231.9,24531079
2023-08-15,232.04,233.96,231.85,232.44,232.44,37893472
2023-08-16,236.92,237.04,234.61,236.34,236.34,39267431
2023-08-17,237.9,237.93,236.72,237.21,237.21,44010203
2023-08-18,242.19,242.19,241.49,241.69,241.69,28697955
2023-08-21,237.96,239.6,237.69,238.06,238.06,50588527
2023-08-22,240.7,240.74,239.34,239.82,239.82,23778357
2023-08-23,240.38,241.76,238.23,240.08,240.08,26516316
2023-08-24,237.99,239.7,237.67,238.09,238.09,44370640
2023-08-25,242.86,243.92,240.77,242.55,242.55,44622110
2023-08-28,241.47,243.11,240.94,241.5,241.5,31185079
2023-08-29,236.35,238.16,236.23,236.5,236.5,33219977
2023-08-30,230.79,232.51,230.1,231.64,231.64,46564345
2023-08-31,230.24,231.17,229.18,230.61,230.61,58198631
2023-09-01,226.54,227.39,225.94,226.26,226.26,21850034
2023-09-04,224.82,226.08,223.51,224.63,224.63,38715069
2023-09-05,219.77,220.67,219.68,219.77,219.77,52407538
2023-09-06,219.85,219.96,218.43,219.33,219.33,20407655
2023-09-07,223.34,223.34,221.06,222.82,222.82,34827721
2023-09-08,219.37,220.72,218.73,219.61,219.61,35544762
2023-09-11,215.78,217.74,215.41,216.35,216.35,29438954
2023-09-12,218.88,220.87,218.37,219.45,219.45,54867472
2023-09-13,225.49,226.91,224.53,225.15,225.15,36188862
2023-09-14,226.07,227.7,225.37,226.88,226.88,45606831
2023-09-15,225.03,226.04,225.03,225.6,225.6,23997345
2023-09-18,231.74,232.36,229.67,231.29,231.29,25955022
2023-09-19,227.79,227.79,226.19,227.13,227.13,56519011
2023-09-20,231.6,232.04,229.82,231.27,231.27,28220486
2023-09-21,234.95,235.41,233.25,234.62,234.62,23550386
2023-09-22,234.14,234.84,233.69,234.35,234.35,57976900
2023-09-25,236.12,237.42,235.43,236.63,236.63,35285043
2023-09-26,236.71,236.77,235.43,236.49,236.49,24379550
2023-09-27,237.35,237.97,235.91,236.41,236.41,59406956
2023-09-28,242.15,242.78,241.43,241.8,241.8,21238068
2023-09-29,235.63,235.92,233.94,235.6,235.6,24921573
